05/19 12:46:32 AM | Epoch[0] :	Total_loss 17.26194190979004	
05/19 12:49:19 AM | Epoch[1] :	Total_loss 10.872312545776367	
05/19 12:52:13 AM | Epoch[2] :	Total_loss 8.585100173950195	
05/19 12:54:52 AM | Epoch[3] :	Total_loss 16.190824508666992	
05/19 12:57:30 AM | Epoch[4] :	Total_loss 7.03718900680542	
05/19 01:00:15 AM | Epoch[5] :	Total_loss 33.422298431396484	
05/19 01:02:54 AM | Epoch[6] :	Total_loss 14.232553482055664	
05/19 01:05:49 AM | Epoch[7] :	Total_loss 19.615821838378906	
05/19 01:08:43 AM | Epoch[8] :	Total_loss 22.223670959472656	
05/19 01:11:35 AM | Epoch[9] :	Total_loss 12.313578605651855	
05/19 01:14:19 AM | Epoch[10] :	Total_loss 17.713947296142578	
05/19 01:17:07 AM | Epoch[11] :	Total_loss 6.5307769775390625	
05/19 01:19:54 AM | Epoch[12] :	Total_loss 6.904911994934082	
05/19 01:22:46 AM | Epoch[13] :	Total_loss 6.407547950744629	
05/19 01:25:43 AM | Epoch[14] :	Total_loss 10.987540245056152	
05/19 01:28:33 AM | Epoch[15] :	Total_loss 26.289859771728516	
05/19 01:31:22 AM | Epoch[16] :	Total_loss 17.749267578125	
05/19 01:34:21 AM | Epoch[17] :	Total_loss 27.220199584960938	
05/19 01:37:12 AM | Epoch[18] :	Total_loss 7.011263847351074	
05/19 01:40:06 AM | Epoch[19] :	Total_loss 2.768409252166748	
05/19 01:42:55 AM | Epoch[20] :	Total_loss 8.303024291992188	
05/19 01:45:39 AM | Epoch[21] :	Total_loss 5.545420169830322	
05/19 01:48:27 AM | Epoch[22] :	Total_loss 10.13111400604248	
05/19 01:51:18 AM | Epoch[23] :	Total_loss 6.570974349975586	
05/19 01:54:07 AM | Epoch[24] :	Total_loss 13.578765869140625	
05/19 01:56:58 AM | Epoch[25] :	Total_loss 10.321426391601562	
05/19 01:59:46 AM | Epoch[26] :	Total_loss 3.551457405090332	
05/19 02:02:29 AM | Epoch[27] :	Total_loss 5.129057884216309	
05/19 02:05:08 AM | Epoch[28] :	Total_loss 12.585517883300781	
05/19 02:07:54 AM | Epoch[29] :	Total_loss 11.485697746276855	
05/19 02:10:51 AM | Epoch[30] :	Total_loss 4.139952182769775	
05/19 02:13:41 AM | Epoch[31] :	Total_loss 25.341081619262695	
05/19 02:16:29 AM | Epoch[32] :	Total_loss 5.5461626052856445	
05/19 02:19:21 AM | Epoch[33] :	Total_loss 18.925403594970703	
