05/19 10:01:34 AM | Epoch[0] :	Total_loss 24.6485538482666	
05/19 10:18:40 AM | Namespace(batch_size=8, checkpoint_interval=1, compute_map=False, data_config='config/coco.data', epochs=100, evaluation_interval=1, gradient_accumulations=2, img_size=416, job_dir='./experiments/pr_3', lr_type='cos', model_def='config/yolov3.cfg', multiscale_training=True, n_cpu=8, pr_cfg=[0.4, 0.4, 0.5, 0.5, 0.6], pretrained_weights='weights/darknet53.conv.74', random_rule='random_pretrain')
05/19 10:18:40 AM | {'gpus': '0,1,2,3', 'num_workers': '10', 'classes': '1', 'train': '/media/disk2/zyx/coco_class/class_train.txt', 'valid': '/media/disk2/zyx/coco_class/class_val.txt', 'names': 'data/coco.names', 'backup': 'backup/', 'eval': 'coco'}
05/19 10:20:50 AM | Epoch[0] :	Total_loss 19.398874282836914	
05/19 10:22:17 AM | Epoch[1] :	Total_loss 12.074758529663086	
05/19 10:23:45 AM | Epoch[2] :	Total_loss 14.922054290771484	
05/19 10:25:12 AM | Epoch[3] :	Total_loss 7.576277732849121	
05/19 10:26:43 AM | Epoch[4] :	Total_loss 13.303668975830078	
05/19 10:28:09 AM | Epoch[5] :	Total_loss 9.38284969329834	
05/19 10:29:37 AM | Epoch[6] :	Total_loss 12.518142700195312	
05/19 10:31:08 AM | Epoch[7] :	Total_loss 7.198195457458496	
05/19 10:32:38 AM | Epoch[8] :	Total_loss 16.86737823486328	
05/19 10:34:08 AM | Epoch[9] :	Total_loss 13.954524040222168	
05/19 10:35:40 AM | Epoch[10] :	Total_loss 11.46998405456543	
05/19 10:37:12 AM | Epoch[11] :	Total_loss 8.688833236694336	
05/19 10:38:46 AM | Epoch[12] :	Total_loss 8.76036262512207	
05/19 10:40:13 AM | Epoch[13] :	Total_loss 34.22362518310547	
05/19 10:41:44 AM | Epoch[14] :	Total_loss 10.641667366027832	
05/19 10:43:17 AM | Epoch[15] :	Total_loss 5.748462200164795	
05/19 10:44:49 AM | Epoch[16] :	Total_loss 3.4416682720184326	
05/19 10:46:17 AM | Epoch[17] :	Total_loss 6.146090030670166	
05/19 10:47:49 AM | Epoch[18] :	Total_loss 9.410383224487305	
05/19 10:49:19 AM | Epoch[19] :	Total_loss 5.2612714767456055	
05/19 10:50:47 AM | Epoch[20] :	Total_loss 9.736188888549805	
05/19 10:52:15 AM | Epoch[21] :	Total_loss 7.333500862121582	
05/19 10:53:47 AM | Epoch[22] :	Total_loss 8.370960235595703	
05/19 10:55:12 AM | Epoch[23] :	Total_loss 7.206270217895508	
05/19 10:56:42 AM | Epoch[24] :	Total_loss 15.693382263183594	
05/19 10:58:08 AM | Epoch[25] :	Total_loss 24.736358642578125	
05/19 10:59:38 AM | Epoch[26] :	Total_loss 7.207619667053223	
05/19 11:01:08 AM | Epoch[27] :	Total_loss 6.350794792175293	
05/19 11:02:35 AM | Epoch[28] :	Total_loss 6.293456077575684	
05/19 11:04:08 AM | Epoch[29] :	Total_loss 13.02096176147461	
05/19 11:05:43 AM | Epoch[30] :	Total_loss 6.858132839202881	
05/19 11:07:15 AM | Epoch[31] :	Total_loss 2.6442928314208984	
05/19 11:08:43 AM | Epoch[32] :	Total_loss 9.014364242553711	
05/19 11:10:11 AM | Epoch[33] :	Total_loss 18.005800247192383	
05/19 11:11:40 AM | Epoch[34] :	Total_loss 7.556830883026123	
05/19 11:13:06 AM | Epoch[35] :	Total_loss 5.302923202514648	
05/19 11:14:39 AM | Epoch[36] :	Total_loss 9.826984405517578	
05/19 11:16:09 AM | Epoch[37] :	Total_loss 13.111319541931152	
05/19 11:17:37 AM | Epoch[38] :	Total_loss 7.556840896606445	
05/19 11:19:07 AM | Epoch[39] :	Total_loss 5.762964248657227	
05/19 11:20:38 AM | Epoch[40] :	Total_loss 13.348068237304688	
05/19 11:22:05 AM | Epoch[41] :	Total_loss 8.624486923217773	
05/19 11:23:36 AM | Epoch[42] :	Total_loss 3.4088168144226074	
05/19 11:25:03 AM | Epoch[43] :	Total_loss 6.414884567260742	
05/19 11:26:36 AM | Epoch[44] :	Total_loss 3.647289752960205	
05/19 11:28:05 AM | Epoch[45] :	Total_loss 6.846209526062012	
05/19 11:29:32 AM | Epoch[46] :	Total_loss 8.021150588989258	
05/19 11:31:06 AM | Epoch[47] :	Total_loss 5.727921485900879	
05/19 11:32:38 AM | Epoch[48] :	Total_loss 6.895328998565674	
